name,slug,type,country,city,address,website,validEmailDomains,logo
"University of Dhaka",university-of-dhaka,university,Bangladesh,Dhaka,"Nilkhet Road, Dhaka 1000",https://www.du.ac.bd,du.ac.bd
"University of Rajshahi",university-of-rajshahi,university,Bangladesh,Rajshahi,"Motihar, Rajshahi 6205",https://www.ru.ac.bd,ru.ac.bd
"Bangladesh Agricultural University",bangladesh-agricultural-university,university,Bangladesh,Mymensingh,"Mymensingh 2202",https://www.bau.edu.bd,bau.edu.bd
"Bangladesh University of Engineering & Technology",buet,university,Bangladesh,Dhaka,"Ramna, Dhaka 1000",https://www.buet.ac.bd,buet.ac.bd
"University of Chittagong",university-of-chittagong,university,Bangladesh,Chattogram,"Hathazari, Chattogram 4331",https://www.cu.ac.bd,std.cu.ac.bd|cu.ac.bd
"Jahangirnagar University",jahangirnagar-university,university,Bangladesh,Savar,"Savar, Dhaka 1342",https://www.juniv.edu,juniv.edu
"Islamic University, Bangladesh",islamic-university,university,Bangladesh,Kushtia,"Kushtia 7003",https://www.iu.ac.bd,iu.ac.bd
"Shahjalal University of Science & Technology",sust,university,Bangladesh,Sylhet,"Kumargaon, Sylhet 3114",https://www.sust.edu,student.sust.edu|sust.edu
"Khulna University",khulna-university,university,Bangladesh,Khulna,"Gollamari, Khulna 9208",https://www.ku.ac.bd,ku.ac.bd
"National University",national-university,university,Bangladesh,Gazipur,"Board Bazar, Gazipur 1704",https://www.nu.ac.bd,nu.ac.bd
"Bangladesh Open University",bangladesh-open-university,university,Bangladesh,Gazipur,"Board Bazar, Gazipur 1705",https://www.bou.ac.bd,bou.ac.bd
"Hajee Mohammad Danesh Science & Technology University",hstu,university,Bangladesh,Dinajpur,"Basherhat, Dinajpur 5200",https://www.hstu.ac.bd,hstu.ac.bd
"Mawlana Bhashani Science & Technology University",mbstu,university,Bangladesh,Tangail,"Santosh, Tangail 1902",https://www.mbstu.ac.bd,mbstu.ac.bd
"Sher-e-Bangla Agricultural University",sau-dhaka,university,Bangladesh,Dhaka,"Sher-e-Bangla Nagar, Dhaka 1207",https://www.sau.edu.bd,sau.edu.bd
